acc_x_raw,acc_y_raw,acc_z_raw,fspb1_raw,fspb2_raw,fspb3_raw,gyro_x_raw,gyro_y_raw,gyro_z_raw,imu_temperature,time_ns
-0.009327,0.014612,-9.821006,-0.028882,-0.031348,-9.820929,-0.00031,0.000345,0.000419,0.0,615949195584
-0.009087,0.014941,-9.822926,-0.028646,-0.031028,-9.822851,-8.0e-5,-0.000463,-0.000151,0.0,615995487680
-0.007391,0.011988,-9.820947,-0.026946,-0.033972,-9.820862,-0.000248,0.000493,0.00055,0.0,615937006848
-0.007979,0.011963,-8.107955,-0.024123,-0.02598,-8.107891,0.00112,-0.000298,-0.001085,0.0,615885832032
-0.004519,0.011482,-9.823325,-0.024079,-0.034489,-9.823242,0.000124,0.000354,0.000297,0.0,616146679360
-0.004287,0.005774,-4.674108,-0.013593,-0.016099,-4.674066,0.001636,-0.000946,-0.003029,0.0,615876242176
-0.004975,0.01206,-9.820251,-0.024528,-0.033897,-9.82017,0.000123,0.00061,4.3e-5,0.0,616051560832
-0.009062,0.015392,-9.822522,-0.02862,-0.030575,-9.822449,-8.7e-5,-0.000446,-0.000103,0.0,615997931552
-0.007671,0.011348,-9.821816,-0.027227,-0.034616,-9.821727,-4.9e-5,0.000334,-5.4e-5,0.0,616085715232
-0.008301,0.009098,-9.825676,-0.027865,-0.036884,-9.825575,-7.4e-5,-0.000409,0.000349,0.0,616114976960
-0.006407,0.008933,-6.549304,-0.019447,-0.021716,-6.549249,0.001379,-0.000666,-0.001946,0.0,615880900608
-0.009061,0.016957,-9.821253,-0.028616,-0.029005,-9.821188,-0.000263,-2.6e-5,-6.5e-5,0.0,616007697696
-0.009118,0.016112,-9.821763,-0.028675,-0.029852,-9.821694,-0.000158,-0.00032,-5.3e-5,0.0,616002811712
-0.007641,0.019153,-9.820978,-0.027196,-0.026807,-9.820925,-0.00047,0.00087,-0.00032,0.0,616019887808
-0.008366,0.013232,-8.691266,-0.025672,-0.027441,-8.691198,0.001015,-0.000101,-0.000793,0.0,615888240736
-0.008302,0.013371,-9.823944,-0.027863,-0.032603,-9.823863,-4.1e-5,0.000386,0.000387,0.0,615924859232
-0.001584,0.002146,-2.063463,-0.005692,-0.00751,-2.063443,0.001949,-0.001213,-0.004588,0.0,615868816832
-0.009319,0.0107,-9.822342,-0.028876,-0.035266,-9.822247,-0.000159,0.000263,5.9e-5,0.0,616090589824
-0.000574,0.000838,-0.897457,-0.00236,-0.003361,-0.897448,0.002072,-0.001312,-0.005306,0.0,615863972736
-0.008331,0.015,-9.435812,-0.027119,-0.029157,-9.435744,0.000875,0.000271,-0.000468,0.0,615893091808
-0.006989,0.016067,-9.808553,-0.026519,-0.029835,-9.808488,0.000854,0.000657,-0.000327,0.0,615900411968
-0.004983,0.012005,-9.819773,-0.024535,-0.03395,-9.819692,0.000102,0.000629,1.2e-5,0.0,616049134656
-0.007591,0.012778,-9.820733,-0.027145,-0.033181,-9.82065,-0.00026,0.000494,0.000581,0.0,615941865376
-0.005356,0.015858,-9.820323,-0.024909,-0.030099,-9.82026,1.6e-5,0.00088,-0.000361,0.0,616034500480
-0.004708,0.009932,-9.824707,-0.02427,-0.036045,-9.824617,8.9e-5,0.000437,0.00036,0.0,616141790976
-0.005152,0.013822,-9.819852,-0.024704,-0.032133,-9.81978,9.5e-5,0.000756,-0.000232,0.0,616039427392
-0.007411,0.015327,-9.825431,-0.026975,-0.030654,-9.825361,0.000542,0.000546,0.0001,0.0,615915053184
-0.006842,0.008794,-9.825942,-0.026406,-0.037189,-9.825843,-0.000233,-0.000353,0.000391,0.0,616119869472
-0.00806,0.018865,-9.820998,-0.027615,-0.027095,-9.820943,-0.00048,0.000734,-0.000261,0.0,616017431680
-0.010982,0.010682,-9.824529,-0.030544,-0.035295,-9.82443,-0.00012,-6.3e-5,-0.000543,0.0,615980890688
-0.009613,0.013009,-9.824096,-0.029174,-0.032966,-9.824011,-9.7e-5,-0.000297,-0.000326,0.0,615988212896
-0.007543,0.008993,-9.825805,-0.027107,-0.03699,-9.825705,-0.000158,-0.000389,0.000371,0.0,616117413984
-0.011494,0.009299,-9.824672,-0.031056,-0.036679,-9.824566,-2.9e-5,-9.4e-5,0.000215,0.0,616102779680
-0.006474,0.016117,-9.824688,-0.026036,-0.02986,-9.824624,0.000857,0.000721,-0.000253,0.0,615905329184
-0.008457,0.018473,-9.820954,-0.028012,-0.027487,-9.820896,-0.000462,0.000551,-0.000197,0.0,616015017024
-0.00584,0.008202,-9.826222,-0.025405,-0.037783,-9.826122,-0.000335,-8.3e-5,0.000414,0.0,616127161472
-0.007961,0.015527,-9.628619,-0.027133,-0.029532,-9.628551,0.000844,0.000426,-0.000398,0.0,615895680480
-0.000162,0.000228,-0.280841,-0.00072,-0.001085,-0.280839,0.002138,-0.001384,-0.005687,0.0,615859139712
-0.004869,0.009245,-9.825309,-0.024432,-0.036736,-9.825216,3.2e-5,0.000433,0.000367,0.0,616139333504
-0.007763,0.014936,-9.825306,-0.027326,-0.031044,-9.825234,0.000384,0.000492,0.000188,0.0,615917504544
-0.00914,0.009112,-9.82557,-0.028704,-0.036869,-9.825467,-6.0e-6,-0.000383,0.00032,0.0,616112595552
-0.007972,0.013367,-9.820744,-0.027526,-0.032592,-9.820664,-0.00027,0.000462,0.000552,0.0,615944313824
-0.010853,0.015198,-9.821233,-0.030408,-0.030763,-9.821156,-0.00029,0.000226,0.00019,0.0,615954053632
-0.008167,0.012795,-9.823232,-0.027726,-0.033175,-9.823149,-0.000144,0.000394,0.000422,0.0,615927267136
-2.8e-5,9.3e-5,-0.13204,-0.00029,-0.000524,-0.132039,0.002156,-0.001401,-0.005783,0.0,615856917984
-0.006666,0.016098,-9.824545,-0.026228,-0.029879,-9.82448,0.000868,0.000707,-0.000294,0.0,615902866080
-0.006349,0.008592,-9.826073,-0.025914,-0.037392,-9.825974,-0.0003,-0.00029,0.00041,0.0,616122281952
-0.013186,0.011128,-9.822899,-0.032744,-0.034841,-9.822798,-0.000147,0.00013,-0.000579,0.0,615968708032
-0.008458,0.0142,-9.130742,-0.026638,-0.02853,-9.130673,0.000939,8.7e-5,-0.000597,0.0,615890654560
-0.011507,0.010159,-9.824381,-0.031068,-0.035817,-9.824279,-0.000128,8.0e-6,-0.000595,0.0,615978454784
