Time (sec),gpsFix,extended_solution_status,solution_age_seconds,datetime,gpsFixType,gpsNumSV,gpsNumSV_L1,gpsNumSV_MF,latx_gps,lonx_gps,ecef_velocity_x,ecef_velocity_y,ecef_velocity_z,hdop,pdop,gpsAltitude,position_north_std,position_east_std,position_down_std,velocity_north_std,velocity_east_std,velocity_down_std,unix_time_s,Time deltas (sec),Data Frequency (Hz)
36.640483,True,2,0.0,1744856320,3,10,10,0,-27.510525,153.137463,0.021175,-0.005972,0.019939,1.133,2.132999,63.059185,2.873196,2.913511,3.321317,0.07881,0.079642,0.092004,3318.008687,,
36.740499,True,2,0.0,1744856320,3,10,10,0,-27.510525,153.137463,-0.034276,-0.014081,0.046295,1.133,2.132999,63.077097,2.871068,2.910882,3.319115,0.076554,0.078007,0.088508,3318.108704,0.100017,9.998349
36.840133,True,2,0.0,1744856320,3,10,10,0,-27.510525,153.137463,0.003242,0.005986,0.010675,1.133,2.132999,63.043733,2.870837,2.911359,3.320452,0.076499,0.077939,0.088421,3318.208337,0.099633,10.036794
36.94117,True,2,0.0,1744856320,3,10,10,0,-27.510525,153.137463,-0.008674,0.01568,-0.010738,1.133,2.132999,63.041144,2.870133,2.911115,3.319873,0.07645,0.077882,0.088345,3318.309374,0.101037,9.897346
37.039935,True,2,0.0,1744856320,3,10,10,0,-27.510524,153.137463,-0.023617,0.009476,-0.016767,1.133,2.132999,63.024611,2.873369,2.912769,3.321447,0.076405,0.077826,0.088275,3318.40814,0.098766,10.124993
37.140439,True,2,0.0,1744856320,3,10,10,0,-27.510524,153.137463,-0.00739,-0.013101,0.017065,1.133,2.132999,63.01532,2.872967,2.913674,3.321808,0.076363,0.077776,0.088209,3318.508644,0.100504,9.949856
37.240143,True,2,0.0,1744856320,3,10,10,0,-27.510524,153.137463,-0.005768,0.025464,-0.032856,1.133,2.132999,63.023556,2.871661,2.912947,3.321321,0.076326,0.077731,0.088151,3318.608347,0.099703,10.029759
37.340079,True,2,0.0,1744856320,3,10,10,0,-27.510524,153.137463,-0.015158,0.004285,0.024397,1.133,2.132999,63.021979,2.868356,2.911241,3.319615,0.07629,0.077687,0.088094,3318.708283,0.099936,10.006372
37.442919,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137463,0.056382,-0.010947,0.022587,1.133,2.132999,63.015768,2.867655,2.909804,3.318155,0.076258,0.077648,0.088043,3318.811124,0.10284,9.723797
37.540242,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137463,-0.034961,0.008004,0.011839,1.133,2.132999,63.019027,2.868642,2.910765,3.319268,0.076231,0.077615,0.088001,3318.908446,0.097322,10.275117
37.640317,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137464,-0.001209,-0.017523,0.00805,1.133,2.132999,63.063821,2.865955,2.910358,3.317162,0.076204,0.077583,0.087959,3319.008521,0.100075,9.992498
37.739965,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137464,-0.025984,0.029052,-0.053594,1.133,2.132999,63.121415,2.86488,2.908476,3.315736,0.076182,0.077555,0.087924,3319.10817,0.099648,10.035289
37.84014,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137464,0.029772,-0.018303,0.000942,1.133,2.132999,63.16823,2.863574,2.909787,3.316021,0.076161,0.077531,0.087891,3319.208345,0.100175,9.98252
37.940996,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137464,0.013134,-0.020298,0.02174,1.133,2.132999,63.220174,2.868203,2.912716,3.318726,0.076142,0.077508,0.087861,3319.3092,0.100855,9.915189
38.040027,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137465,0.015484,0.025227,0.013369,1.133,2.132999,63.30398,2.866557,2.910658,3.316983,0.076124,0.077486,0.087832,3319.408232,0.099031,10.097805
38.140052,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137465,-0.008748,0.001104,-0.008397,1.133,2.132999,63.32698,2.868534,2.911576,3.318652,0.076107,0.077466,0.087807,3319.508256,0.100024,9.997572
38.239983,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137466,0.004108,0.022405,-0.028317,1.133,2.132999,63.359466,2.869305,2.91234,3.318068,0.076092,0.077447,0.087781,3319.608187,0.099931,10.006904
38.340304,True,2,0.0,1744856321,3,10,10,0,-27.510523,153.137466,0.045938,-0.007358,0.01287,1.133,2.132999,63.368583,2.866303,2.910417,3.316596,0.076079,0.077431,0.087761,3319.708508,0.100321,9.967969
38.443149,True,2,0.0,1744856322,3,10,10,0,-27.510523,153.137466,0.027609,-0.007747,0.013562,1.133,2.132999,63.362625,2.86368,2.909009,3.31419,0.076066,0.077417,0.087742,3319.811353,0.102845,9.723347
38.54033,True,2,0.0,1744856322,3,10,10,0,-27.510524,153.137466,0.058739,-0.03787,0.025832,1.133,2.132999,63.358073,2.865925,2.911923,3.316729,0.076054,0.077403,0.087724,3319.908534,0.097181,10.290088
38.640161,True,2,0.0,1744856322,3,10,10,0,-27.510524,153.137467,-0.010788,0.023284,-0.0039,1.133,2.132999,63.392618,2.864779,2.909261,3.314712,0.075397,0.075889,0.086972,3320.008365,0.099831,10.016941
